CMDLINE /usr/bin/python3 evaluate_greedy_only_memprof.py 2
MEM 0.875000 1729308386.9108
MEM 30.351562 1729308387.0111
MEM 48.476562 1729308387.1114
MEM 83.726562 1729308387.2116
MEM 99.421875 1729308387.3119
MEM 102.546875 1729308387.4121
MEM 104.546875 1729308387.5124
MEM 107.921875 1729308387.6126
MEM 111.171875 1729308387.7129
MEM 113.546875 1729308387.8131
MEM 113.546875 1729308387.9134
MEM 113.671875 1729308388.0137
MEM 113.796875 1729308388.1139
MEM 114.671875 1729308388.2141
MEM 114.921875 1729308388.3144
MEM 115.671875 1729308388.4147
MEM 116.796875 1729308388.5149
MEM 118.921875 1729308388.6151
MEM 119.796875 1729308388.7154
MEM 120.921875 1729308388.8156
MEM 122.296875 1729308388.9158
MEM 123.296875 1729308389.0161
MEM 123.671875 1729308389.1163
MEM 124.296875 1729308389.2165
MEM 124.671875 1729308389.3167
MEM 137.210938 1729308389.4169
MEM 176.652344 1729308389.5171
MEM 179.777344 1729308389.6174
MEM 180.902344 1729308389.7177
MEM 181.152344 1729308389.8179
MEM 181.402344 1729308389.9182
MEM 181.652344 1729308390.0184
MEM 192.652344 1729308390.1187
MEM 193.027344 1729308390.2189
MEM 193.152344 1729308390.3191
MEM 193.152344 1729308390.4194
MEM 193.152344 1729308390.5196
MEM 193.152344 1729308390.6198
MEM 193.902344 1729308390.7201
MEM 194.152344 1729308390.8203
MEM 194.402344 1729308390.9205
MEM 194.527344 1729308391.0207
MEM 194.652344 1729308391.1209
MEM 195.777344 1729308391.2212
MEM 196.027344 1729308391.3214
MEM 202.777344 1729308391.4217
MEM 203.152344 1729308391.5220
MEM 203.402344 1729308391.6222
MEM 204.210938 1729308391.7225
MEM 204.460938 1729308391.8227
MEM 204.460938 1729308391.9230
MEM 204.460938 1729308392.0233
MEM 204.460938 1729308392.1235
MEM 204.460938 1729308392.2237
MEM 204.460938 1729308392.3240
MEM 204.710938 1729308392.4243
MEM 204.835938 1729308392.5245
MEM 205.085938 1729308392.6248
MEM 205.210938 1729308392.7250
MEM 205.460938 1729308392.8253
MEM 218.585938 1729308392.9255
MEM 218.710938 1729308393.0258
MEM 219.585938 1729308393.1261
MEM 219.835938 1729308393.2263
MEM 227.960938 1729308393.3266
MEM 228.210938 1729308393.4269
MEM 228.585938 1729308393.5271
MEM 236.960938 1729308393.6274
MEM 229.062500 1729308393.7277
MEM 229.187500 1729308393.8280
MEM 205.996094 1729308393.9282
MEM 205.996094 1729308394.0285
MEM 205.996094 1729308394.1287
MEM 205.996094 1729308394.2290
MEM 206.121094 1729308394.3293
MEM 216.246094 1729308394.4296
MEM 216.496094 1729308394.5298
MEM 216.621094 1729308394.6301
MEM 223.371094 1729308394.7304
MEM 223.496094 1729308394.8306
MEM 223.496094 1729308394.9309
MEM 223.621094 1729308395.0311
MEM 230.496094 1729308395.1314
MEM 230.496094 1729308395.2316
MEM 230.621094 1729308395.3319
MEM 230.871094 1729308395.4321
MEM 230.996094 1729308395.5323
MEM 231.246094 1729308395.6326
MEM 231.496094 1729308395.7328
MEM 231.621094 1729308395.8331
MEM 231.871094 1729308395.9333
MEM 231.996094 1729308396.0335
MEM 232.246094 1729308396.1337
MEM 232.371094 1729308396.2340
MEM 266.871094 1729308396.3343
MEM 266.996094 1729308396.4345
MEM 267.246094 1729308396.5348
MEM 267.496094 1729308396.6350
MEM 288.371094 1729308396.7353
MEM 288.371094 1729308396.8355
MEM 288.371094 1729308396.9357
MEM 288.496094 1729308397.0360
MEM 304.871094 1729308397.1363
MEM 289.167969 1729308397.2366
MEM 254.960938 1729308397.3368
